,symbol,date,close,volume,change,percentChange
4202,IEFA,2019-05-31,59.389999,10247600.0,0.29,0.491
4203,IEFA,2019-05-30,59.889999,7204000.0,0.18,0.301
4204,IEFA,2019-05-29,59.650002,4911400.0,-0.01,-0.017
4205,IEFA,2019-05-28,60.029999,11580700.0,-0.54,-0.892
4206,IEFA,2019-05-24,60.610001,3735800.0,0.05,0.083
4207,IEFA,2019-05-23,59.98,8453700.0,0.09,0.15
4208,IEFA,2019-05-22,60.549999,8072900.0,0.03,0.05
4209,IEFA,2019-05-21,60.799999,5393300.0,0.09,0.148
4210,IEFA,2019-05-20,60.349998,4398300.0,0.0,0.0
4211,IEFA,2019-05-17,60.66,4958400.0,0.0,0.0
4212,IEFA,2019-05-16,61.009998,5688300.0,0.19,0.312
4213,IEFA,2019-05-15,60.619999,7767900.0,0.72,1.202
4214,IEFA,2019-05-14,60.360001,9413000.0,0.16,0.266
4215,IEFA,2019-05-13,59.740002,9225500.0,-0.32,-0.533
4216,IEFA,2019-05-10,61.18,9072900.0,0.4,0.658
4217,IEFA,2019-05-09,60.720001,5091500.0,0.35,0.58
4218,IEFA,2019-05-08,61.099998,12418600.0,0.12,0.197
4219,IEFA,2019-05-07,61.02,8090900.0,-0.48,-0.78
4220,IEFA,2019-05-06,62.080002,6911600.0,0.65,1.058
4221,IEFA,2019-05-03,62.73,4905200.0,0.33,0.529
4222,IEFA,2019-05-02,62.07,5092400.0,-0.18,-0.289
4223,IEFA,2019-05-01,62.18,7054600.0,-0.46,-0.734
4224,IEFA,2019-04-30,62.560001,8909800.0,0.04,0.064
4225,IEFA,2019-04-29,62.509998,4120300.0,0.2,0.321
4226,IEFA,2019-04-26,62.240002,4397400.0,0.11,0.177
4227,IEFA,2019-04-25,62.009998,7524000.0,0.12,0.194
4228,IEFA,2019-04-24,62.049999,6921400.0,-0.15,-0.241
4229,IEFA,2019-04-23,62.540001,12874700.0,0.3,0.482
4230,IEFA,2019-04-22,62.41,7319800.0,-0.01,-0.016
4231,IEFA,2019-04-18,62.459999,10188800.0,-0.03,-0.048
4232,IEFA,2019-04-17,62.549999,6208900.0,-0.11,-0.176
4233,IEFA,2019-04-16,62.419998,6409700.0,-0.13,-0.208
4234,IEFA,2019-04-15,62.330002,3584700.0,-0.04,-0.064
4235,IEFA,2019-04-12,62.259998,10302800.0,0.0,0.0
4236,IEFA,2019-04-11,61.860001,6742100.0,-0.06,-0.097
